"Refs","Value","Footprint","MPN","LCSC Part","DigiKey Part","Datasheet","Qty","DNP","Unit Price (USD)","Total Cost (USD)","Price Source","Manufacturer"
"J1","RFPC-SMA27-F","RFPC-SMA27-F:GRADCONN_RFPC-SMA27-F","RFPC-SMA27-F","","2073-RFPC-SMA27-F-ND","https://www.mouser.com/datasheet/2/837/RFPC_SMA27_F-3511583.pdf","1","","","","","GradConn"
"J3","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1(10)","BWIPX-1-001E","C496552","","","1","","","","","IPEX"
"J7","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1(10)","BWIPX-1-001E","C496552","","","1","","","","","IPEX"
"J8","RFPC-SMA27-F","RFPC-SMA27-F:GRADCONN_RFPC-SMA27-F","RFPC-SMA27-F","","2073-RFPC-SMA27-F-ND","https://www.mouser.com/datasheet/2/837/RFPC_SMA27_F-3511583.pdf","1","","","","","GradConn"
"J10","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1(10)","BWIPX-1-001E","C496552","","","1","","","","","IPEX"
"J11","RFPC-SMA27-F","RFPC-SMA27-F:GRADCONN_RFPC-SMA27-F","RFPC-SMA27-F","","2073-RFPC-SMA27-F-ND","https://www.mouser.com/datasheet/2/837/RFPC_SMA27_F-3511583.pdf","1","","","","","GradConn"
"J12","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1(10)","BWIPX-1-001E","C496552","","","1","","","","","IPEX"
"J22","RFPC-SMA27-F","RFPC-SMA27-F:GRADCONN_RFPC-SMA27-F","RFPC-SMA27-F","","2073-RFPC-SMA27-F-ND","https://www.mouser.com/datasheet/2/837/RFPC_SMA27_F-3511583.pdf","1","","","","","GradConn"
"J23","RFPC-SMA27-F","RFPC-SMA27-F:GRADCONN_RFPC-SMA27-F","RFPC-SMA27-F","","2073-RFPC-SMA27-F-ND","https://www.mouser.com/datasheet/2/837/RFPC_SMA27_F-3511583.pdf","1","","","","","GradConn"
"J24","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1(10)","BWIPX-1-001E","C496552","","","1","","","","","IPEX"
"J25","RFPC-SMA27-F","RFPC-SMA27-F:GRADCONN_RFPC-SMA27-F","RFPC-SMA27-F","","2073-RFPC-SMA27-F-ND","https://www.mouser.com/datasheet/2/837/RFPC_SMA27_F-3511583.pdf","1","","","","","GradConn"
"J26","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1(10)","BWIPX-1-001E","C496552","","","1","","","","","IPEX"
"R24","50Ω","Resistor_SMD:R_0402_1005Metric","FC0402E50R0FTBST0","C22426405","","https://www.lcsc.com/product-detail/C22426405.html","1","","","","","Vishay"
"R142","50Ω","Resistor_SMD:R_0402_1005Metric","FC0402E50R0FTBST0","C22426405","","https://www.lcsc.com/product-detail/C22426405.html","1","","","","","Vishay"
"R143","50Ω","Resistor_SMD:R_0402_1005Metric","FC0402E50R0FTBST0","C22426405","","https://www.lcsc.com/product-detail/C22426405.html","1","","","","","Vishay"
"R144","50Ω","Resistor_SMD:R_0402_1005Metric","FC0402E50R0FTBST0","C22426405","","https://www.lcsc.com/product-detail/C22426405.html","1","","","","","Vishay"
"R145","50Ω","Resistor_SMD:R_0402_1005Metric","FC0402E50R0FTBST0","C22426405","","https://www.lcsc.com/product-detail/C22426405.html","1","","","","","Vishay"
"R146","50Ω","Resistor_SMD:R_0402_1005Metric","FC0402E50R0FTBST0","C22426405","","https://www.lcsc.com/product-detail/C22426405.html","1","","","","","Vishay"
